"Df"	"SumsOfSqs"	"MeanSqs"	"F.Model"	"R2"	"Pr(>F)"
"Organ"	1	1.08149122963004	1.08149122963004	3.2032314532328	0.16592106053526	0.001
"State"	2	1.07159719217734	0.535798596088671	1.58696332301865	0.164403129421119	0.01
"Organ:State"	2	0.988767943020388	0.494383971510194	1.46429877943378	0.151695567411427	0.023
"Residuals"	10	3.37625065631321	0.337625065631321	NA	0.517980242632194	NA
"Total"	15	6.51810702114098	NA	NA	1	NA
