"Df"	"SumsOfSqs"	"MeanSqs"	"F.Model"	"R2"	"Pr(>F)"
"Organ"	1	1.2833062751271	1.2833062751271	9.96798869875161	0.307498186739247	0.001
"State"	2	0.586053063514472	0.293026531757236	2.27606239726461	0.140426535626371	0.035
"Organ:State"	2	1.01659151304067	0.508295756520333	3.94815053492688	0.24358958806116	0.002
"Residuals"	10	1.28742749807473	0.128742749807473	NA	0.308485689573222	NA
"Total"	15	4.17337834975697	NA	NA	1	NA
