"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU38"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Amarenomyces,s:Amarenomyces ammophilae"
"OTU39"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae"
"OTU40"	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella,s:Volutella lini"
"OTU41"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Atheliales,f:Atheliaceae"
"OTU42"	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Sporocadaceae"
"OTU44"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora,s:Cyphellophora europaea"
"OTU45"	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Apiosporaceae"
"OTU46"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales"
"OTU47"	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae,g:Plectosphaerella"
"OTU49"	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU50"	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Sympoventuriaceae,g:Ochroconis,s:Ochroconis cordanae"
"OTU51"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
