"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU36"	0	0	0	0	0	0	0	0	29	187	44	24	310	297	268	3227	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Solirubrobacterales"
"OTU37"	0	0	0	0	110	0	55	0	266	427	35	1122	4136	427	176	674	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces"
"OTU38"	0	0	61	0	0	0	0	67	250	85	2382	30	16	31	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax"
"OTU39"	0	0	0	0	0	0	0	0	0	189	85	0	55	2134	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Sphingobacteriia; o__\"Sphingobacteriales\"; f__Chitinophagaceae"
"OTU40"	0	0	0	0	0	0	0	0	9363	3227	12847	0	0	306	0	212	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Citrobacter"
"OTU41"	0	0	0	0	0	0	0	0	0	0	3602	0	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Pectobacterium"
"OTU43"	0	200	2292	0	819	292	2422	8141	355	538	982	503	596	935	1534	147	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"OTU44"	0	0	0	0	0	0	0	0	49	160	0	458	979	994	0	1719	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Actinospicaceae; g__Actinospica"
"OTU46"	0	0	0	0	6709	411	1063	670	0	20	177	140	318	47	92	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia"
"OTU47"	0	0	0	0	0	0	0	0	1366	0	2355	0	0	0	0	0	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium_XlVa"
