	V3.16s	V5.16s	V6.16s	V7.16s	V8.16s	V9.16s	V10.16s	V11.16s	V12.16s	V13.16s	V14.16s	V15.16s	V16.16s	taxonomy
New.CleanUp.ReferenceOTU68	0	5	0	1.05982481207678	1.77994395755083	0	0.695662538738535	0	0	0	0	0	0	k__Bacteria
New.CleanUp.ReferenceOTU77	0	0	1.66940660717082	0.794868609057588	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
New.CleanUp.ReferenceOTU202	3.24416835699797	0	26.3766243932989	0	0	0	0	0	0	0	0.264453483469332	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter
New.CleanUp.ReferenceOTU229	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
New.CleanUp.ReferenceOTU399	0	0	1.66940660717082	14.1309974943571	1.27138854110773	0	0	0	0	0	0	0	4.99625134717211	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__; s__
4402202	0	0	0	0.618231140378124	1.77994395755083	0	0	0.410270857095741	0	0	0.317344180163198	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
851865	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
992510	0	62	16.360184750274	5.74071773208258	51.6183747689739	0	0	1.46525306105622	2.34194823736135	5.98588990112906	2.69742553138719	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
748412	0	0	0	4.6808929200058	61.7894830978358	42.5445034670127	229.301075268817	30.5944839148539	3.27872753230589	0.748236237641132	4.54859991567251	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
575041	0	11	1.66940660717082	0	0	0	0.267562514899437	0	0	0	0.846251147101863	0	1.79865048498196	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
278680	0	6	12.353608893064	0	3.3056102068801	0	0	0.46888097953799	0	1.60336336637385	0.423125573550931	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium
1108960	196.812880324544	77	0	53.7861092128968	241.563822810469	12.4520497952232	19.5855760906388	27.8398081600682	22.6388329611597	15.3388428716432	22.1083112180362	87.8209786821705	5.99550161660653	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
1003206	35.6858519269777	22	1.66940660717082	9.00851090265267	81.1145889226733	0	3.53182519667256	4.51297942805315	3.27872753230589	1.60336336637385	2.53875344130559	4.54602713178295	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
372348	0	0	0	0	0	0.605307976156685	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__bromii
334409	7.02903144016227	0	0	1.85469342113437	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
965129	25.4126521298174	18	1.66940660717082	5.47576152906339	67.3835926787098	3.11301244880581	1.60537508939662	6.21267297887837	4.05937694475967	8.39093495068984	3.49078598179518	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
574655	44.8776622718053	10	412.009550649757	13.512766353979	34.0732129016872	0.778253112201452	0.642150035758648	7.91236652970358	2.18581835487059	89.7349030713901	24.0123762990154	11.5717054263566	12.3907033409868	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__
68657	0	23	10.0164396430249	35.1508562672133	59.2467060156203	0	0	3.10633648943918	1.87355858988908	3.95496297038884	0.74046975371413	8.05886627906977	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
New.CleanUp.ReferenceOTU11	0	0	0	0	0	0	0	0	0	0.908572574278518	0	0	0	k__Bacteria
New.CleanUp.ReferenceOTU16	3.7848630831643	55	0	0.44159367169866	0	0	0	0	0	0	0	1.23982558139535	0	k__Bacteria
