#OTU_ID	V1.ITS	V2.ITS	V3.ITS	V4.ITS	V5.ITS	V6.ITS	V7.ITS	V8.ITS	V9.ITS	V10.ITS	V11.ITS	V12.ITS	V13.ITS	V14.ITS	V15.ITS	V16.ITS	taxonomy
New.CleanUp.ReferenceOTU334	0	0	176	0	0	0	0	0	0	0	9	0	16	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Trichomeriaceae
New.CleanUp.ReferenceOTU339	0	0	5	0	0	0	0	14	0	0	9	0	0	0	8	0	k__Fungi; p__Basidiomycota
New.CleanUp.ReferenceOTU340	0	0	17	0	0	0	0	0	0	0	8	0	0	7	35	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Chaetothyriales_fam_Incertae_sedis; g__Strelitziana
New.CleanUp.ReferenceOTU341	0	0	26	0	0	0	0	0	0	0	8	11	8	34	7	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
New.CleanUp.ReferenceOTU343	0	0	6864	0	0	0	0	5	0	0	0	0	147	0	27	0	Unclassified
New.CleanUp.ReferenceOTU344	0	0	4519	0	0	0	0	12	0	0	0	0	0	15	247	0	Unclassified
New.CleanUp.ReferenceOTU345	0	0	7282	0	0	0	0	9	0	0	59	0	0	0	9	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_alternata
New.CleanUp.ReferenceOTU346	0	0	17	0	0	0	0	0	0	0	0	380	83	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Chaetothyriales_fam_Incertae_sedis; g__Strelitziana
New.CleanUp.ReferenceOTU348	0	0	6	0	0	0	0	17	0	0	0	1703	13	8	11	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
New.CleanUp.ReferenceOTU349	0	0	6	0	0	0	0	8	0	0	0	9267	0	253	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae
New.CleanUp.ReferenceOTU350	0	0	11	0	0	0	0	26	0	0	0	0	0	0	14	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
New.CleanUp.ReferenceOTU357	0	0	759	0	0	0	0	0	0	0	0	106	12	15	18	0	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Orbilia
New.CleanUp.ReferenceOTU358	0	0	11	0	0	0	0	0	0	0	0	0	0	7	0	0	Unclassified
New.CleanUp.ReferenceOTU359	0	0	21	0	0	0	0	0	0	0	53	0	20	8	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae
New.CleanUp.ReferenceOTU361	0	0	415	0	0	0	0	0	0	0	0	0	0	6	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Dictyosporiaceae; g__Dictyosporium; s__Dictyosporium_heptasporum
