"Df"	"SumsOfSqs"	"MeanSqs"	"F.Model"	"R2"	"Pr(>F)"
"Organ"	1	1.08410597868531	1.08410597868531	1987.32083697389	0.746692810684147	0.001
"State"	2	0.15987930597418	0.0799396529870902	146.540782179213	0.110119057264922	0.002
"Organ:State"	2	0.202436415874791	0.101218207937396	185.54740742144	0.139430848391484	0.001
"Residuals"	10	0.00545511302712493	0.000545511302712493	NA	0.00375728365944748	NA
"Total"	15	1.4518768135614	NA	NA	1	NA
