#OTU ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Taxonomy
OTU32	0	0	0	0	0	0	0	0	471	0	10319	0	111	123	585	0	GSL|100.0|MG751209|SH1546498.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae
OTU33	0	0	0	0	0	0	0	8491	0	0	0	0	0	0	0	0	SS|0.9000|KU255057|SH1573849.08FU;k:Fungi,p:Ascomycota
OTU34	0	0	0	0	0	0	0	51	0	0	6932	0	0	102	0	209	GSL|100.0|LT220551|SH1522825.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Clonostachys
OTU35	0	0	0	1749	1809	0	0	0	0	0	0	16	0	0	0	0	GS|100.0|FJ884093|SH1541124.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Entonaema,s:Entonaema pallida
OTU36	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	6996	GS|99.3|JN541224|SH1551778.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Ceratobasidium
OTU37	0	0	11731	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.8500|FJ917559|SH1613987.08FU;k:Fungi,p:Ascomycota
OTU38	0	0	3161	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|97.7|MG434535|SH2705923.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Amarenomyces,s:Amarenomyces ammophilae
OTU39	0	0	0	0	0	0	0	0	53	114	526	1406	3475	418	34	0	GS|100.0|DQ287230|SH1541933.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae
OTU40	0	0	0	0	0	0	0	0	0	0	3628	53	545	33	0	0	GS|100.0|JQ693169|SH1561520.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella,s:Volutella lini
OTU41	0	0	0	0	0	0	0	0	0	0	4790	0	0	0	0	0	GS|98.7|UDB016773|SH1650386.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Atheliales,f:Atheliaceae
OTU42	0	0	0	0	0	0	0	9	0	0	24	29	19	22	740	2607	GSL|100.0|MK120575|SH1552672.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Sporocadaceae
OTU44	0	0	0	0	0	0	0	0	0	0	0	2563	63	160	0	0	GSL|100.0|KX447685|SH1547257.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora,s:Cyphellophora europaea
OTU45	0	0	0	0	0	0	0	0	0	18	23	0	0	165	29	2909	GS|100.0|JN890282|SH1585530.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Apiosporaceae
OTU46	0	0	0	0	0	0	0	0	0	0	0	89	3248	0	0	0	GS|98.7|KX499247|SH1160362.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales
OTU47	0	0	0	0	0	0	2612	0	0	0	0	720	0	180	0	0	GSL|100.0|MN523081|SH1644387.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae,g:Plectosphaerella
OTU49	0	0	0	0	0	0	0	3280	0	0	27	0	0	0	0	0	SS|0.9900|HQ437657|SH1185588.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
OTU50	0	0	0	0	0	127	0	29	107	0	863	679	2262	2236	123	387	GS|100.0|KF156023|SH1551238.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Sympoventuriaceae,g:Ochroconis,s:Ochroconis cordanae
OTU51	0	0	2326	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|98.5|AY546059|SH1525096.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU52	0	0	0	0	0	0	0	0	0	0	0	9	0	116	1812	0	GS|81.4|FJ904669|SH2587825.08FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Ostropales,f:Stictidaceae,g:Absconditella,s:Absconditella lignicola
OTU53	0	0	0	0	0	0	0	0	0	0	0	0	46	2388	0	0	GS|100.0|KX343150|SH1540623.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Diaporthe
OTU54	0	0	0	0	8	0	0	13	0	0	0	0	1781	0	0	0	GSL|100.0|EF504325|SH1522797.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Hannaella
OTU55	0	0	0	0	14	0	54	92	0	0	394	20	334	1191	0	0	GS|100.0|MN244420|SH1528213.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Vishniacozyma,s:Vishniacozyma taibaiensis
OTU56	0	0	0	0	1007	186	0	643	25	0	346	120	158	3458	1954	37	GS|99.7|KU204526|SH1636085.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora,s:Cyphellophora guyanensis
OTU57	0	0	0	0	0	0	0	0	0	0	0	0	0	2473	0	0	GS|100.0|KU512704|SH2589736.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Magnaporthales,f:Magnaporthaceae,g:Arxiella
OTU58	0	0	0	0	32	1104	236	1193	0	0	0	70	219	96	0	0	GSL|100.0|KY513780|SH1543708.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae,g:Colletotrichum
OTU59	0	0	0	0	0	0	0	0	0	0	0	31	2111	236	0	0	GS|99.7|KF896888|SH1228070.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala
OTU60	0	0	0	0	0	31	0	0	0	0	2919	0	16	0	0	0	GS|100.0|MF380827|SH1546341.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Gibberella,s:Gibberella baccata
