"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU37"	0	0	12636	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota"
"OTU38"	0	0	3405	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Amarenomyces,s:Amarenomyces ammophilae"
"OTU39"	0	0	0	0	0	0	0	0	176	135	261	3050	2295	404	124	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae"
"OTU40"	0	0	0	0	0	0	0	0	0	0	1797	115	360	32	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella,s:Volutella lini"
"OTU41"	0	0	0	0	0	0	0	0	0	0	2373	0	0	0	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Atheliales,f:Atheliaceae"
"OTU42"	0	0	0	0	0	0	0	13	0	0	12	63	13	22	2686	4065	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Sporocadaceae"
"OTU44"	0	0	0	0	0	0	0	0	0	0	0	5560	42	155	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora,s:Cyphellophora europaea"
"OTU45"	0	0	0	0	0	0	0	0	0	22	12	0	0	160	106	4536	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Apiosporaceae"
"OTU46"	0	0	0	0	0	0	0	0	0	0	0	194	2145	0	0	0	"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales"
"OTU47"	0	0	0	0	0	0	1588	0	0	0	0	1562	0	174	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae,g:Plectosphaerella"
"OTU49"	0	0	0	0	0	0	0	4376	0	0	14	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU50"	0	0	0	0	0	468	0	39	354	0	428	1473	1494	2157	447	604	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Sympoventuriaceae,g:Ochroconis,s:Ochroconis cordanae"
"OTU51"	0	0	2506	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU52"	0	0	0	0	0	0	0	0	0	0	0	20	0	112	6577	0	"k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Ostropales,f:Stictidaceae,g:Absconditella,s:Absconditella lignicola"
"OTU53"	0	0	0	0	0	0	0	0	0	0	0	0	31	2303	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Diaporthe"
"OTU54"	0	0	0	0	84	0	0	18	0	0	0	0	1176	0	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Hannaella"
"OTU55"	0	0	0	0	147	0	33	123	0	0	196	44	221	1149	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Vishniacozyma,s:Vishniacozyma taibaiensis"
"OTU56"	0	0	0	0	10513	685	0	858	83	0	172	261	105	3335	7093	58	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora,s:Cyphellophora guyanensis"
"OTU57"	0	0	0	0	0	0	0	0	0	0	0	0	0	2385	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Magnaporthales,f:Magnaporthaceae,g:Arxiella"
"OTU58"	0	0	0	0	335	4066	144	1592	0	0	0	152	145	93	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae,g:Colletotrichum"
"OTU59"	0	0	0	0	0	0	0	0	0	0	0	68	1394	228	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala"
"OTU60"	0	0	0	0	0	115	0	0	0	0	1446	0	11	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Gibberella,s:Gibberella baccata"
"OTU61"	0	441	0	407	6473	6243	0	0	0	0	0	185	37	31	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Neodevriesiaceae,g:Neodevriesia,s:Neodevriesia strelitziae"
"OTU63"	0	0	0	0	0	0	0	0	0	0	735	0	8	76	164	948	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
"OTU64"	0	0	0	0	0	0	0	0	44	0	982	200	58	1233	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Sarocladium"
"OTU65"	0	0	0	0	0	4328	0	0	73	0	2292	287	136	169	650	376	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Albonectria,s:Albonectria rigidiuscula"
"OTU66"	0	0	0	0	0	0	0	2395	0	0	319	55	74	163	48	46	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Morosphaeriaceae,g:Acrocalymma,s:Acrocalymma medicaginis"
"OTU67"	0	0	0	0	0	0	0	0	0	0	982	0	0	23	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Geosmithia"
"OTU68"	0	0	0	0	0	0	0	0	0	0	910	29	40	47	0	24	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Clavicipitaceae,g:Metacordyceps,s:Metacordyceps chlamydosporia"
"OTU69"	0	0	0	0	0	67	0	0	146	0	255	612	296	493	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Morosphaeriaceae,g:Acrocalymma,s:Acrocalymma vagum"
"OTU70"	0	0	0	0	0	0	0	0	0	0	0	0	23	2246	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Rhizoctonia,s:Rhizoctonia bicornis"
"OTU71"	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2399	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
"OTU72"	0	0	0	0	0	0	0	0	364	640	361	24	0	0	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales"
"OTU73"	0	0	0	0	3863	457	10	26	0	0	64	107	550	106	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Tremellaceae,g:Cryptococcus"
"OTU74"	0	0	0	0	0	0	0	2967	0	0	65	278	52	488	342	38	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Thyridariaceae,g:Roussoella"
"OTU75"	0	0	0	0	0	0	0	0	0	30	0	0	424	1040	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaeta,s:Pyrenochaeta inflorescentiae"
"OTU76"	0	0	0	0	752	0	0	2209	0	0	0	0	0	9	109	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora"
