#OTU ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	taxonomy
OTU1153	0.0	0.0	0.0	0.0	5.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__""Actinobacteria""; c__Actinobacteria; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter"
OTU1154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	4.0	51.0	3.0	0.0	0.0	k__Bacteria; p__; c__; o__; f__; g__; s__
OTU1156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	16.0	6.0	0.0	1.0	82.0	0.0	0.0	"k__Bacteria; p__""Verrucomicrobia""; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Brevifollis"
OTU1159	0.0	0.0	4.0	0.0	5.0	6.0	129.0	39.0	0.0	0.0	21.0	0.0	12.0	0.0	2.0	0.0	"k__Bacteria; p__""Proteobacteria""; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
OTU1160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	11.0	6.0	0.0	0.0	11.0	0.0	0.0	"k__Bacteria; p__""Bacteroidetes""; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae"
OTU1161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	13.0	53.0	0.0	0.0	0.0	"k__Bacteria; p__""Planctomycetes""; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae"
OTU1162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	5.0	9.0	1.0	0.0	50.0	0.0	0.0	"k__Bacteria; p__""Bacteroidetes""; c__Sphingobacteriia; o__""Sphingobacteriales""; f__Chitinophagaceae; g__Ferruginibacter"
OTU1163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0	5.0	10.0	21.0	5.0	0.0	0.0	k__Bacteria; p__candidate_division_WPS-1; c__; o__; f__; g__WPS-1_genera_incertae_sedis
OTU1164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	"k__Bacteria; p__""Bacteroidetes""; c__Flavobacteriia; o__""Flavobacteriales""; f__Cryomorphaceae; g__Fluviicola"
OTU1165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	47.0	0.0	3.0	18.0	12.0	0.0	27.0	0.0	0.0	"k__Bacteria; p__""Bacteroidetes""; c__Sphingobacteriia; o__""Sphingobacteriales""; f__Sphingobacteriaceae; g__Mucilaginibacter"
