"unlist.kruskal_bin_State_shan."
"statistic.Kruskal-Wallis chi-squared"	"0.665441176470594"
"parameter.df"	"2"
"p.value"	"0.7169704961626"
"method"	"Kruskal-Wallis rank sum test"
"data.name"	"Alpha_diversity.bin$Shannon by State"
